company,enterprise_number
CLAN CAPITAL,South Africa > M2009012374
IMINIYANDA URBAN LIVING,South Africa > K2018109966
FREEDOM CAPITAL,South Africa > M2005043862
WATERVAL BOVEN BELEGGINGS,South Africa > M2000031220
PM VAN NIEKERK INVESTMENTS,South Africa > K2017526030
VFX INVESTMENTS,South Africa > K2017285891
COMROC TECHNOLOGIES,South Africa > B2006164035
CELESTIAL CAPITAL PARTNERS,South Africa > M2006001142
AINSLEY HOLDINGS,South Africa > M1964010191
THE MHV CAPITAL (RF),South Africa > K2019563118
OLD MUTUAL LIFE ASSURANCE COMPANY (SOUTH AFRICA),South Africa > M1999004643
TRANSIT UNDERWRITING MANAGERS,South Africa > M2004018469
ALLIANZ GLOBAL CORPORATE AND SPECIALTY OF AFRICA,South Africa > M1973016026
TRANSSEC 5 (RF),South Africa > K2020886422
SALVO INVESTMENT MANAGERS,South Africa > K2016426174
EMUTRADE,South Africa > K2021974197
EXITO INVESTMENT MANAGERS,South Africa > K2020432664
BILLIZ ACADEMY,South Africa > K2021997914
OLD MUTUAL SPECIALISED FINANCE,South Africa > M1998013266
TUHF URBAN FINANCE (RF),South Africa > K2018563485
GAMACK DERIVATIVES TRADING,South Africa > M2007033765
AFRIPACK HOLDINGS,South Africa > K2012176572
D B CONSULTANTS,South Africa > B2007233246
GARBAN SOUTH AFRICA,South Africa > M1997011600
NOMANDLA INTERNATIONAL,South Africa > K2016447408
ORONOMO,South Africa > K2021392474
TITAN FINCAP SOLUTIONS (RF),South Africa > M1999020292
SOUTH AFRICAN SECURITISATION PROGRAMME (RF),South Africa > M1991002706
BLUEPRINT FOREIGN EX,South Africa > K2020874021
ARCANUS TRADING,South Africa > K2020867783
CLAY 23,South Africa > K2016068451
PHOENIX 12J,South Africa > K2018416029
SHOW UP INVESTMENTS,South Africa > K2019233717
KWU INVESTMENTS GROUP,South Africa > K2021735532
LEGAL PRACTITIONERS INDEMNITY INSURANCE FUND,South Africa > M1993003588
CITIGROUP GLOBAL MARKETS,South Africa > M2000025866
PTSD CAPITAL,South Africa > K2022230363
LIBERTY GROUP,South Africa > M1957002788
MOB GROUP HOLDINGS,South Africa > K2022624925
MERRILL LYNCH SOUTH AFRICA,South Africa > M1995001805
PANGAEA FX,South Africa > K2013070734
SCHAEFFLER SOUTH AFRICA,South Africa > M1953000068
LINDSAY MANUFACTURING AFRICA,South Africa > M2002009050
INGREDION SOUTH AFRICA,South Africa > M2010013219
STEYN CAPITAL MANAGEMENT,South Africa > M2008018143
DUFERCO STEEL PROCESSING,South Africa > M1997001976
OM BRIDGE,South Africa > K2016479525
NEDBANK,South Africa > M1951000009
XCELL PERFORMANCE 200,South Africa > B2006119091
ISUZU MOTORS SOUTH AFRICA,South Africa > M2006034364
DNKR ZA,South Africa > K2017657344
SILWOOD GLOBAL,South Africa > K2018593736
FIND ADVICE,South Africa > K2018625551
TECHNO NELOGY,South Africa > K2019126876
